State,City,County,Year,SO,NO,CO,O3,Latitude,Longitude
Arizona,Scottsdale,Maricopa,2003,2.28339273502,27.9584476152,0.77374409447,0.0189369032258,33.420061,-111.792658
Arizona,Tucson,Pima,2003,1.20256001393,17.1738433259,0.461037013928,0.0268864456825,32.169577,-110.875093
California,Oakland,Alameda,2003,2.58782287288,18.4498916695,0.739274872881,0.0195606864407,37.786027,-122.223779
California,Pittsburg,Contra Costa,2003,1.66449315653,11.6144490207,0.452223721216,0.0241002509702,38.00307,-121.917219
California,Fresno,Fresno,2003,1.25160937073,14.5478593439,0.49526302439,0.0313939097561,36.8411,-119.801015
California,Calexico,Imperial,2003,0.136908364903,11.2884273955,0.785739350975,0.0187845264624,32.946832,-115.518355
California,Hawthorne,Los Angeles,2003,1.5392074083,30.1378832562,0.898210588792,0.020939268559,33.786594,-118.298662
California,Costa Mesa,Orange,2003,1.00007301136,18.0116383778,0.580435840909,0.0335103465909,33.640302,-117.769442
California,Rubidoux,Riverside,2003,2.08287633333,21.2649482028,0.763262886111,0.0274148888889,33.9958669,-117.4262714
California,Arden-Arcade,Sacramento,2003,0.693794450192,14.9394511762,0.536944082375,0.0249540651341,38.600807,-121.377037
California,Victorville,San Bernardino,2003,0.951036873239,21.628557693,0.360055121127,0.0319998084507,34.491985,-114.754916
California,San Diego,San Diego,2003,3.73759802612,19.7196196623,0.836434086754,0.0240604720149,32.709355,-117.232764
California,San Francisco,San Francisco,2003,2.17207420604,18.3467739478,0.637341156593,0.0191999945055,37.784827,-122.727802
California,Vandenberg Air Force Base,Santa Barbara,2003,0.576129138516,5.22658445018,0.263984385159,0.0333199886926,34.75821,-120.516395
California,Davenport,Santa Cruz,2003,0.819715734043,3.92158216667,0.356027723404,0.0256229929078,37.097536,-122.24338
California,Vallejo,Solano,2003,1.15238920499,11.9050244183,0.487500096953,0.0214805041551,38.158221,-122.280383
California,Not in a city,Ventura,2003,0.270654750809,11.7676092136,0.459188653722,0.0231179449838,34.330829,-119.358352
Colorado,Welby,Adams,2003,1.95030008251,21.0894410561,0.552749184818,0.0194351122112,39.872535,-105.034487
District Of Columbia,Washington,District of Columbia,2003,8.29182208611,22.6244786667,0.897290141667,0.0194049416667,38.911936,-77.016719
Florida,Winter Park,Orange,2003,0.650148072022,10.9406987507,0.442803908587,0.0234126869806,28.602327,-81.35874
Illinois,Cicero,Cook,2003,4.9150456028,27.8795317664,0.651804261682,0.0220488037383,41.811929,-87.68732
Illinois,East Saint Louis,Saint Clair,2003,5.06337610864,16.3826160919,0.433178554318,0.0202930278552,38.612317,-90.115857
Indiana,Indianapolis (Remainder),Marion,2003,3.41393125989,14.5017208983,0.441662745763,0.029820180791,39.762392,-86.143736
Kansas,Not in a city,Linn,2003,0.5629968,4.19202500299,0.121730316418,0.0307891910448,38.089756,-95.007693
Kansas,Kansas City,Wyandotte,2003,3.25579569118,16.3047401397,0.557615349265,0.0241038345588,39.145049,-94.688896
Kentucky,Ashland,Boyd,2003,3.40101580328,10.184512,0.142099295082,0.0363868934426,38.43296,-82.693914
Kentucky,Lexington-Fayette (corporate name for Lexington),Fayette,2003,3.46621113821,11.2764158211,0.0654132682927,0.0300209674797,38.016674,-84.486043
Louisiana,Baton Rouge,East Baton Rouge,2003,3.34827,15.5650379861,0.663911272981,0.0209782924791,30.44924,-91.185607
Massachusetts,Boston,Suffolk,2003,5.99689952473,22.4939271456,0.621263456044,0.0192355631868,42.370567,-71.026964
Michigan,Grand Rapids,Kent,2003,1.27268736612,16.4152588197,0.381648437158,0.027959273224,42.984226,-85.629101
Michigan,Detroit,Wayne,2003,4.92543750625,18.8811448062,0.42406253125,0.026401625,42.239933,-83.150823
Missouri,Breckenridge Hills,Saint Louis,2003,2.99954384112,16.0648723551,0.647274130841,0.0286651588785,38.714496,-90.367338
Missouri,St. Louis,St. Louis City,2003,4.18450983099,17.0225210469,0.49311271831,0.0287728122066,38.627003,-90.199402
Nevada,Boulder City,Clark,2003,0.0140151515152,2.35981015152,0.00285353333333,0.0414007212121,36.020563,-114.82952
New Hampshire,Manchester,Hillsborough,2003,1.32303191908,9.40740541618,0.339296225434,0.0289625895954,42.9956397,-71.4547891
New Jersey,Camden,Camden,2003,7.09643001215,20.0689990729,0.642137712551,0.0254699919028,39.950912,-75.118869
